entries,implementation,reachable_words,allocated_words,time(ns)
187000,stdlib,2001078,2455253.000000,267
188000,stdlib,2011078,2455253.000000,265
189000,stdlib,2021078,2455253.000000,254
190000,stdlib,2031078,2455253.000000,270
191000,stdlib,2041078,2455253.000000,263
192000,stdlib,2051078,2455253.000000,260
193000,stdlib,2061078,2455253.000000,268
194000,stdlib,2071078,2455253.000000,274
195000,stdlib,2081078,2459202.000000,1938
196000,stdlib,2091078,2459202.000000,277
197000,stdlib,2101078,2459202.000000,301
198000,stdlib,2111078,2459202.000000,254
199000,stdlib,2121078,2459202.000000,269
200000,stdlib,2131078,2459202.000000,284
201000,stdlib,2141078,2459202.000000,268
202000,stdlib,2151078,2459202.000000,292
203000,stdlib,2161078,2459202.000000,261
204000,stdlib,2171078,2459202.000000,288
205000,stdlib,2181078,2459202.000000,279
206000,stdlib,2191078,2459202.000000,270
207000,stdlib,2201078,2459202.000000,264
208000,stdlib,2211078,2717395.000000,553
209000,stdlib,2221078,2717395.000000,293
210000,stdlib,2231078,2717395.000000,277
211000,stdlib,2241078,2717395.000000,264
212000,stdlib,2251078,2717395.000000,280
213000,stdlib,2261078,2717395.000000,274
214000,stdlib,2271078,2717395.000000,269
215000,stdlib,2281078,2717395.000000,279
216000,stdlib,2291078,2717395.000000,261
217000,stdlib,2301078,2717395.000000,282
218000,stdlib,2311078,2717395.000000,267
219000,stdlib,2321078,2717395.000000,300
220000,stdlib,2331078,2717395.000000,266
221000,stdlib,2341078,2721344.000000,2115
222000,stdlib,2351078,2721344.000000,270
223000,stdlib,2361078,2721344.000000,280
224000,stdlib,2371078,2721344.000000,287
225000,stdlib,2381078,2721344.000000,284
226000,stdlib,2391078,2721344.000000,277
227000,stdlib,2401078,2721344.000000,296
228000,stdlib,2411078,2721344.000000,287
229000,stdlib,2421078,2721344.000000,289
230000,stdlib,2431078,2721344.000000,285
231000,stdlib,2441078,2721344.000000,283
232000,stdlib,2451078,2721344.000000,269
233000,stdlib,2461078,2721344.000000,278
234000,stdlib,2471078,2979537.000000,2004
235000,stdlib,2481078,2979537.000000,304
236000,stdlib,2491078,2979537.000000,272
237000,stdlib,2501078,2979537.000000,276
238000,stdlib,2511078,2979537.000000,290
239000,stdlib,2521078,2979537.000000,282
240000,stdlib,2531078,2979537.000000,275
241000,stdlib,2541078,2979537.000000,286
242000,stdlib,2551078,2979537.000000,335
243000,stdlib,2561078,2979537.000000,296
244000,stdlib,2571078,2979537.000000,279
245000,stdlib,2581078,2979537.000000,292
246000,stdlib,2591078,2979537.000000,272
247000,stdlib,2601078,2983486.000000,1807
248000,stdlib,2611078,2983486.000000,288
249000,stdlib,2621078,2983486.000000,276
250000,stdlib,2631078,2983486.000000,320
251000,stdlib,2641078,2983486.000000,302
252000,stdlib,2651078,2983486.000000,279
253000,stdlib,2661078,2983486.000000,283
254000,stdlib,2671078,2983486.000000,297
255000,stdlib,2681078,2983486.000000,286
256000,stdlib,2691078,2983486.000000,282
257000,stdlib,2701078,2983486.000000,280
258000,stdlib,2711078,2983486.000000,312
259000,stdlib,2721078,2983486.000000,275
260000,stdlib,2731078,3243652.000000,3087
261000,stdlib,2741078,3243652.000000,325
262000,stdlib,2751078,3243652.000000,274
263000,stdlib,2892150,3897041.000000,28736
264000,stdlib,2902150,3897041.000000,291
265000,stdlib,2912150,3897041.000000,281
266000,stdlib,2922150,3897041.000000,283
267000,stdlib,2932150,3897041.000000,302
268000,stdlib,2942150,3897041.000000,279
269000,stdlib,2952150,3897041.000000,311
270000,stdlib,2962150,3897041.000000,288
271000,stdlib,2972150,3897041.000000,296
272000,stdlib,2982150,3897041.000000,340
273000,stdlib,2992150,3897041.000000,314
274000,stdlib,3002150,3897041.000000,313
275000,stdlib,3012150,3897041.000000,291
276000,stdlib,3022150,3897041.000000,291
277000,stdlib,3032150,3897041.000000,318
278000,stdlib,3042150,3897041.000000,279
279000,stdlib,3052150,3897041.000000,296
280000,stdlib,3062150,3897041.000000,287
281000,stdlib,3072150,3897041.000000,307
282000,stdlib,3082150,3897041.000000,300
283000,stdlib,3092150,3897041.000000,288
284000,stdlib,3102150,3897041.000000,284
285000,stdlib,3112150,3897041.000000,294
286000,stdlib,3122150,3901002.000000,2355
287000,stdlib,3132150,3901002.000000,309
288000,stdlib,3142150,3901002.000000,330
289000,stdlib,3152150,3901002.000000,313
290000,stdlib,3162150,3901002.000000,296
291000,stdlib,3172150,3901002.000000,310
292000,stdlib,3182150,3901002.000000,302
293000,stdlib,3192150,3901002.000000,300
294000,stdlib,3202150,3901002.000000,285
295000,stdlib,3212150,3901002.000000,297
296000,stdlib,3222150,3901002.000000,289
297000,stdlib,3232150,3901002.000000,292
298000,stdlib,3242150,4159185.000000,1907
299000,stdlib,3252150,4159185.000000,299
300000,stdlib,3262150,4159185.000000,285
